id,Summary,Status,Type,Priority,Milestone,Component
11130,Add an inlinelinkbutton class,new,enhancement,normal,next-major-releases,general
11331,Optimize timeline for testing department,new,enhancement,normal,unscheduled,timeline
11367,"Ticket change history not updated when deleting or renaming Components, Versions and Ticket System Enums",new,defect,normal,next-dev-1.7.x,ticket system
11398,Existing attachments can be overwritten without warning when uploading through trac-admin,new,enhancement,normal,next-major-releases,admin/console
11424,Remove `req` from ITicketActionController method signatures,new,enhancement,normal,unscheduled,ticket system
11432,The href of customized navigation items doesn't work as documented,new,defect,normal,next-dev-1.7.x,general
11463,Strip markup from log messages,new,enhancement,normal,next-stable-1.4.x,general
11527,Some unexpected behaviors on the history page,new,defect,normal,next-stable-1.4.x,general
11530,Ticket default_description cannot include new lines,new,enhancement,normal,next-stable-1.4.x,ticket system
11539,Remove deprecated methods in trac.wiki.formatter,new,enhancement,normal,next-major-releases,general
11547,Inconsistent results from get_resource_summary,new,defect,normal,next-stable-1.4.x,general
11567,TracIni wiki page is incomplete,new,enhancement,normal,next-stable-1.4.x,general
11619,Option to show whitespace and tab characters in file and diff view,new,enhancement,normal,next-major-releases,version control/browser
11627,Backport Bloodhound search API,new,enhancement,normal,next-major-releases,search system
11631,Exceptions in get_repository method of IRepositoryConnector should not disable repository browser,new,enhancement,normal,next-stable-1.4.x,version control/browser
11633,Allow CommitTicketReferenceMacro to be used in tickets that aren't referenced in the changeset message,new,enhancement,normal,next-major-releases,ticket system
11651,Attachment example on TracFineGrainedPermissions page is incorrect,new,defect,normal,next-stable-1.4.x,attachment
11683,Dynamic table sorting in Admin tables,new,enhancement,normal,next-major-releases,admin/web
11702,Add a macro for listing ticket Components,new,enhancement,normal,next-major-releases,ticket system
11746,Generate list of valid default_handlers in ExtensionOption documentation,new,enhancement,normal,next-major-releases,general
11806,Tracd --daemonize does not work without --pidfile with systemd,new,defect,normal,next-stable-1.4.x,web frontend/tracd
11840,Add ISessionAttributeProvider interface,new,enhancement,normal,next-major-releases,general
11856,Default values of ticket workflow fields should be configured in the [ticket-workflow] section,new,enhancement,normal,next-dev-1.7.x,ticket system
11870,"Optional notification subscribers for watching components, users, groups, individual resources, ...",new,enhancement,normal,next-dev-1.7.x,notification
11884,Notification distributor for XMPP,new,enhancement,normal,next-major-releases,notification
108,OrphanedPages macro,new,enhancement,low,next-major-releases,wiki system
109,"MissingLinks, an index over missing wiki pages",new,enhancement,low,next-major-releases,wiki system
217,XML-RPC/SOAP/etc. interface,new,enhancement,low,unscheduled,general
533,Support for custom reports,new,enhancement,low,next-major-releases,report system
548,[Patch] Support for subcomponents,new,enhancement,low,next-major-releases,ticket system
615,Change default wiki syntax,new,enhancement,low,unscheduled,wiki system
642,RSS feed with all events for the tickets in a report,new,enhancement,low,unscheduled,ticket system
653,Form controls are over-styled,new,defect,low,unscheduled,general
787,Change attachment description,new,enhancement,low,next-major-releases,attachment
991,Timeline Ticket messages should strike out the ID if closed,new,defect,low,unscheduled,timeline
1200,Provide syntax to link to file-differences from svn log messages,new,enhancement,low,next-major-releases,version control/changeset view
1216,wiki pages caching,new,enhancement,low,next-major-releases,wiki system
1376,Alternate Template for wiki pages,new,enhancement,low,next-major-releases,wiki system
1395,Text box for duplicate when a bug is a duplicate,new,enhancement,low,next-major-releases,ticket system
1410,Post commit script for Tags changes,new,enhancement,low,next-major-releases,general
1502,Ticket searches don't interpret [[BR]],new,enhancement,low,next-major-releases,search system
1748,"Per-screen and per-field help text, configurable per trac environment",new,enhancement,low,next-major-releases,general
1901,Add contains option to milestone filter in custom query,new,enhancement,low,unscheduled,query system
1996,Add a report formatting option to format timestamps,new,enhancement,low,unscheduled,report system
2095,Have redundant 'action triggers' / controls on long pages,new,enhancement,low,next-major-releases,roadmap
2194,Make user credentials available to IPermissionStore & IPermissionGroupProvider component,new,enhancement,low,next-major-releases,general
2264,"Tickets with created with """" Milestone show up under ""Release""",new,defect,low,next-major-releases,report system
2293,Make rss-feeds of more parts of trac available,new,enhancement,low,next-major-releases,wiki system
2344,sub milestone,new,enhancement,low,next-major-releases,roadmap
2467,Link user name in reports to custom query showing that user's open tickets,new,enhancement,low,next-major-releases,ticket system
2497,Change custom query with group to also have a table of contents for group,new,enhancement,low,next-major-releases,ticket system
2523,TODO's from Sourcecode as a ticket,new,enhancement,low,next-major-releases,wiki system
2616,Show ticket submission time in Change History,new,enhancement,low,next-major-releases,ticket system
2619,Message-IDs generation should be a little more randomized,new,defect,low,unscheduled,notification
